Code_geo,commune_name,resultat_election_prec,G_prec,C_prec,D_prec,ED_prec,residence_secondaire,pop_age_0_14_today,pop_age_15_64_today,pop_age_65plus_today,diploma_bac_today,diploma_sup_today,revenus_median_today,criminalite_prec,surface_agri_prec,chomage_rate_prec,proba_C,proba_ED,proba_G,proba_D,prediction
1001,L'Abergement-Clémenciat,C,83.0,198.0,47.0,192.0,2.9023746701846966,162.0,525.0,172.0,49.693251533742334,29.60122699386504,25820.0,14361.0,888.57,45.0,0.3394690309466143,0.48567884741300477,0.1681259202219962,0.006726201418384819,ED
1002,L'Abergement-de-Varey,C,56.0,70.0,8.0,37.0,23.42857142857143,57.0,166.0,50.0,65.4639175257732,43.81443298969072,24480.0,14361.0,195.12,15.0,0.28907719710785,0.16094976761748472,0.5396276018581738,0.010345433416491447,G
1004,Ambérieu-en-Bugey,ED,1970.0,1917.0,490.0,2176.0,1.5695134304403346,2992.348288003257,9752.373817159065,2809.27789483767,47.83964473405285,28.784436453971075,21660.0,14361.0,71.4,,0.3354545019579463,0.24238915909673323,0.42215633894532073,0.0,G
1005,Ambérieux-en-Dombes,ED,180.0,344.0,75.0,429.0,0.8415139536938763,362.644439947245,1228.753770778007,325.601789274748,47.44191198473848,28.272630707711222,24610.0,14361.0,820.68,115.0,0.32746962996218865,0.5260864095303179,0.13971775908910883,0.006726201418384819,ED
1006,Ambléon,C,23.0,25.0,10.0,19.0,11.267605633802818,10.0,72.0,32.0,44.55445544554456,28.71287128712871,24210.0,14361.0,256.52,10.0,0.2566539061595381,0.3832364180295521,0.3013414337021715,0.058768242108738315,ED
1007,Ambronay,ED,371.0,532.0,116.0,640.0,3.251417281514213,609.931863564956,1739.3082596095348,478.759876825509,49.959912721902725,30.20032484746087,24860.0,14361.0,1887.83,160.0,0.39393126534370526,0.46818945150554725,0.1266476133061627,0.011231669844584742,ED
1008,Ambutrix,ED,92.0,148.0,40.0,183.0,3.214930697374822,146.173929712737,490.088621213521,127.737449073742,51.32201561997193,32.68551380640586,26300.0,14361.0,114.58,35.0,0.3671031740801348,0.45653712451696543,0.17185423297669977,0.004505468426199924,ED
1009,Andert-et-Condon,C,66.0,78.0,21.0,63.0,12.280554611896692,50.7563783962393,197.51974724553327,86.7238743582273,55.19352781738359,31.45749831881006,,14361.0,121.71,15.0,0.3008907875337329,0.3309850574672022,0.36361868657286495,0.004505468426199924,G
1010,Anglefort,ED,115.0,178.0,51.0,264.0,11.10982164566738,237.837710022818,723.611068461566,188.551221515616,41.82321488490334,21.37666747618091,24700.0,14361.0,326.21,85.0,0.2211429006955029,0.537838501741047,0.2085655878450182,0.03245300971843191,ED
1011,Apremont,ED,43.0,81.0,20.0,92.0,8.151983336628922,86.974123782832,231.9230146118071,80.1028616053609,53.437759932925566,34.02358685798214,24530.0,14361.0,584.45,25.0,0.31685637784486986,0.38682464006144635,0.2918135136674839,0.004505468426199924,ED
1012,Aranc,G,74.0,70.0,9.0,67.0,21.92541578599624,56.3531089887917,192.95637201479207,79.6905189964162,45.03788849803715,26.84921682467254,24270.0,14361.0,255.78,20.0,0.24776047047902872,0.3571610776688625,0.3620684670294397,0.03300998482266879,G
1013,Arandas,ED,14.0,26.0,12.0,42.0,29.11828085717708,14.2028985507247,87.2463768115941,38.5507246376812,48.71794871794873,27.35042735042736,,14361.0,746.57,10.0,0.25677924910856986,0.28573922327694584,0.37171261132187733,0.08576891629260693,G
1014,Arbent,ED,473.0,482.0,108.0,500.0,0.9683620399719768,627.486305594765,2070.933341633657,783.580352771578,37.65435506479321,20.83234899946099,22410.0,14361.0,,285.0,0.22510713278523276,0.6533149717160674,0.12157789549869973,0.0,ED
1015,Arboys en Bugey,C,106.0,184.0,37.0,134.0,15.923412820702982,113.015974871358,395.516735215925,179.467289912717,54.34076815534614,35.29141289025625,23800.0,14361.0,441.04,50.0,0.2840308012429265,0.3310736804212708,0.3803900499096027,0.004505468426199924,G
1016,Arbigny,ED,51.0,81.0,30.0,101.0,7.871686844201499,99.5824266055465,257.99075317368147,101.426820220771,39.2232879968088,22.282560377475587,23080.0,14361.0,805.47,20.0,0.23437744630973523,0.5383831311266933,0.18575908634858215,0.04148033621498923,ED
1017,Argis,ED,75.0,55.0,15.0,110.0,16.358024691358025,71.0,243.0,106.0,42.85714285714285,22.67080745341615,20790.0,14361.0,135.13,40.0,0.225559683530676,0.4363951601628531,0.32490205793548027,0.013143098370990576,ED
1019,Armix,ED,9.0,11.0,0.0,12.0,50.90909090909091,2.88461538461539,14.42307692307691,7.6923076923077,34.78260869565219,4.347826086956527,,14361.0,196.52,0.0,0.18494504955439445,0.347941625619843,0.27800881825433027,0.18910450657143218,ED
