commune_code;commune_name;exprimes_nb;vote_C;vote_D;vote_ED;vote_G;resultat_election_2022
01001;L'Abergement-Clémenciat;520;198.0;47.0;192.0;83.0;Centre
01002;L'Abergement-de-Varey;171;70.0;8.0;37.0;56.0;Centre
01004;Ambérieu-en-Bugey;6553;1917.0;490.0;2176.0;1970.0;Extrême-Droite
01005;Ambérieux-en-Dombes;1028;344.0;75.0;429.0;180.0;Extrême-Droite
01006;Ambléon;77;25.0;10.0;19.0;23.0;Centre
01007;Ambronay;1659;532.0;116.0;640.0;371.0;Extrême-Droite
01008;Ambutrix;463;148.0;40.0;183.0;92.0;Extrême-Droite
01009;Andert-et-Condon;228;78.0;21.0;63.0;66.0;Centre
01010;Anglefort;608;178.0;51.0;264.0;115.0;Extrême-Droite
01011;Apremont;236;81.0;20.0;92.0;43.0;Extrême-Droite
01012;Aranc;220;70.0;9.0;67.0;74.0;Gauche
01013;Arandas;94;26.0;12.0;42.0;14.0;Extrême-Droite
01014;Arbent;1563;482.0;108.0;500.0;473.0;Extrême-Droite
01015;Arboys en Bugey;461;184.0;37.0;134.0;106.0;Centre
01016;Arbigny;263;81.0;30.0;101.0;51.0;Extrême-Droite
01017;Argis;255;55.0;15.0;110.0;75.0;Extrême-Droite
01019;Armix;32;11.0;0.0;12.0;9.0;Extrême-Droite
01021;Ars-sur-Formans;879;297.0;86.0;355.0;141.0;Extrême-Droite
01022;Artemare;674;191.0;62.0;286.0;135.0;Extrême-Droite
01023;Asnières-sur-Saône;53;9.0;5.0;31.0;8.0;Extrême-Droite
01024;Attignat;1930;678.0;157.0;718.0;377.0;Extrême-Droite
01025;Bâgé-Dommartin;2346;842.0;213.0;841.0;450.0;Centre
01026;Bâgé-le-Châtel;470;204.0;28.0;167.0;71.0;Centre
01027;Balan;1032;360.0;69.0;426.0;177.0;Extrême-Droite
01028;Baneins;348;99.0;37.0;155.0;57.0;Extrême-Droite
01029;Beaupont;361;112.0;36.0;159.0;54.0;Extrême-Droite
01030;Beauregard;427;136.0;38.0;161.0;92.0;Extrême-Droite
01031;Bellignat;1292;400.0;85.0;457.0;350.0;Extrême-Droite
01032;Béligneux;1558;465.0;103.0;625.0;365.0;Extrême-Droite
01033;Valserhône;6449;1885.0;450.0;2035.0;2079.0;Gauche
01034;Belley;4241;1347.0;328.0;1379.0;1187.0;Extrême-Droite
01035;Belleydoux;216;69.0;27.0;60.0;60.0;Centre
01036;Valromey-sur-Seran;871;298.0;89.0;246.0;238.0;Centre
01037;Bénonces;179;51.0;26.0;64.0;38.0;Extrême-Droite
01038;Bény;498;175.0;57.0;164.0;102.0;Centre
01039;Béon;265;90.0;19.0;93.0;63.0;Extrême-Droite
01040;Béréziat;286;100.0;17.0;118.0;51.0;Extrême-Droite
01041;Bettant;429;136.0;25.0;145.0;123.0;Extrême-Droite
01042;Bey;204;90.0;15.0;57.0;42.0;Centre
01043;Beynost;2891;1220.0;201.0;844.0;626.0;Centre
01044;Billiat;323;91.0;23.0;127.0;82.0;Extrême-Droite
01045;Birieux;171;61.0;10.0;87.0;13.0;Extrême-Droite
01046;Biziat;511;178.0;36.0;223.0;74.0;Extrême-Droite
01047;Blyes;698;228.0;54.0;296.0;120.0;Extrême-Droite
01049;La Boisse;1803;651.0;125.0;611.0;416.0;Centre
01050;Boissey;205;64.0;16.0;91.0;34.0;Extrême-Droite
01051;Bolozon;65;14.0;4.0;22.0;25.0;Gauche
01052;Bouligneux;225;80.0;22.0;97.0;26.0;Extrême-Droite
01053;Bourg-en-Bresse;15992;5745.0;1165.0;4025.0;5057.0;Centre
01054;Bourg-Saint-Christophe;904;311.0;67.0;339.0;187.0;Extrême-Droite
01056;Boyeux-Saint-Jérôme;259;75.0;29.0;99.0;56.0;Extrême-Droite
01057;Boz;310;89.0;18.0;128.0;75.0;Extrême-Droite
01058;Brégnier-Cordon;479;159.0;30.0;162.0;128.0;Extrême-Droite
01060;Brénod;351;148.0;29.0;102.0;72.0;Centre
01061;Brens;759;255.0;71.0;277.0;156.0;Extrême-Droite
01062;Bressolles;586;269.0;60.0;162.0;95.0;Centre
01063;Brion;331;121.0;31.0;118.0;61.0;Centre
01064;Briord;593;137.0;35.0;302.0;119.0;Extrême-Droite
01065;Buellas;1161;466.0;96.0;394.0;205.0;Centre
01066;La Burbanche;71;17.0;6.0;23.0;25.0;Gauche
01067;Ceignes;159;56.0;13.0;63.0;27.0;Extrême-Droite
01068;Cerdon;421;97.0;42.0;203.0;79.0;Extrême-Droite
01069;Certines;916;290.0;73.0;357.0;196.0;Extrême-Droite
01071;Cessy;2204;1046.0;206.0;563.0;389.0;Centre
01072;Ceyzériat;1863;743.0;166.0;531.0;423.0;Centre
01073;Ceyzérieu;712;231.0;43.0;231.0;207.0;Centre
01074;Chalamont;1344;425.0;98.0;605.0;216.0;Extrême-Droite
01075;Chaleins;761;288.0;47.0;277.0;149.0;Centre
01076;Chaley;83;23.0;10.0;29.0;21.0;Extrême-Droite
01077;Challes-la-Montagne;118;41.0;10.0;43.0;24.0;Extrême-Droite
01078;Challex;612;275.0;53.0;156.0;128.0;Centre
01079;Champagne-en-Valromey;416;144.0;45.0;105.0;122.0;Centre
01080;Champdor-Corcelles;405;127.0;32.0;139.0;107.0;Extrême-Droite
01081;Champfromier;406;133.0;29.0;143.0;101.0;Extrême-Droite
01082;Chanay;276;85.0;22.0;93.0;76.0;Extrême-Droite
01083;Chaneins;610;186.0;46.0;292.0;86.0;Extrême-Droite
01084;Chanoz-Châtenay;515;179.0;52.0;206.0;78.0;Extrême-Droite
01085;La Chapelle-du-Châtelard;242;78.0;20.0;111.0;33.0;Extrême-Droite
01087;Charix;171;64.0;15.0;48.0;44.0;Centre
01088;Charnoz-sur-Ain;632;182.0;48.0;307.0;95.0;Extrême-Droite
01089;Château-Gaillard;1196;364.0;92.0;494.0;246.0;Extrême-Droite
01090;Châtenay;216;77.0;19.0;81.0;39.0;Extrême-Droite
01092;Châtillon-la-Palud;1011;302.0;77.0;391.0;241.0;Extrême-Droite
01093;Châtillon-sur-Chalaronne;2757;1041.0;254.0;1022.0;440.0;Centre
01094;Chavannes-sur-Reyssouze;432;143.0;34.0;195.0;60.0;Extrême-Droite
01095;Nivigne et Suran;479;135.0;45.0;164.0;135.0;Extrême-Droite
01096;Chaveyriat;604;195.0;45.0;258.0;106.0;Extrême-Droite
01098;Chazey-Bons;594;198.0;39.0;224.0;133.0;Extrême-Droite
01099;Chazey-sur-Ain;976;339.0;73.0;380.0;184.0;Extrême-Droite
01100;Cheignieu-la-Balme;98;31.0;7.0;37.0;23.0;Extrême-Droite
01101;Chevillard;119;35.0;13.0;43.0;28.0;Extrême-Droite
01102;Chevroux;514;146.0;49.0;249.0;70.0;Extrême-Droite
01103;Chevry;787;362.0;75.0;210.0;140.0;Centre
